TopicNumber	Label fr	Label en	Label de	Themenkonzept 1	Themenkonzept 2
0	Topic 0:voyage maritime	Topic 0:navigation	Topic 0:Schiffahrt	Q3997 	x
1	Topic 1:sentiment2	Topic 1:sentiment2	Topic 1:Gefühl2	Q3087	x
2	Topic 2:guerre	Topic 2:war	Topic 2:Krieg	Q2930	x
3	Topic 3:famille	Topic 3:family	Topic 3:Familie	Q2907	x
4	Topic 4:philosophie	Topic 4:philosophy	Topic 4:Philosophie	Q3039	x
5	Topic 5:beauté_pastorale en littérature	Topic 5:beauty_pastorale in litterature	Topic 5:Schönheit_Pastorale in der Literatur	Q2798	Q3026
6	Topic 6:temps	Topic 6:time	Topic 6:Zeit	Q3100	x
7	Topic 7:titres_relation social	Topic 7:titles_social relationship	Topic 7:Titel_Soziale Beziehung	Q3011	Q2775
8	Topic 8:[croire moins encore]	Topic 8:[croire moins encore]	Topic 8:[croire moins encore]	x	x
9	Topic 9:famille2	Topic 9:family2	Topic 9:Familie2	Q2907	x
10	Topic 10:[bon là voir]	Topic 10:[bon là voir]	Topic 10:[bon là voir]	x	x
11	Topic 11:corps	Topic 11:corps	Topic 11:Körper	Q2843	x
12	Topic 12:alimentation_sociabilité	Topic 12:aliment_sociability	Topic 12:Nahrung_Soziabilität	Q2772	Q3089
13	Topic 13:communication	Topic 13:communication	Topic 13:Kommunikation	Q2840	x
14	Topic 14:religion	Topic 14:religion	Topic 14:Religion	Q3066	x
15	Topic 15:amour2	Topic 15:amour2	Topic 15:Liebe2	Q2776	x
16	Topic 16:nuit	Topic 16:night	Topic 16:Nacht	Q3012	x
17	Topic 17:fortune_vertu 	Topic 17:destiny_vertue	Topic 17:Schicksal_Tugend	Q2863	Q3120
18	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	Topic 18:[paraître recevoir personne]	x	x
19	Topic 19:affection	Topic 19:affection	Topic 19:Zuneigung	Q3998	x
20	Topic 20:art	Topic 20:art	Topic 20:Kunst	Q2787	x
21	Topic 21:crime	Topic 21:crime	Topic 21:Verbrechen	Q2848	x
22	Topic 22:[bon petit dame]	Topic 22:[bon petit dame]	Topic 22:[bon petit dame]	x	x
23	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	Topic 23:[femme homme esprit]	x	x
24	Topic 24:éducation_enfance	Topic 24:education_childhood	Topic 24:Bildung_Kindheit	Q2882	Q2891
25	Topic 25:noblesse	Topic 25:noblesse	Topic 25:Adel	Q3011	x
26	Topic 26:relation amoureuse	Topic 26:romantic relationship	Topic 26:Liebesbeziehung 	Q3064	x
27	Topic 27:nature	Topic 27:nature	Topic 27:Natur	Q3005	x
28	Topic 28:campagne	Topic 28:rural area	Topic 28:ländlicher Raum	Q3243	x
29	Topic 29:deuil	Topic 29:mourning	Topic 29:Trauer	Q2864	x
30	Topic 30:libertinage	Topic 30:libertinism	Topic 30:Libertinage	Q2969	x
31	Topic 31:religion_philosophie	Topic 31:religion_philosophy	Topic 31:Religion_Philosophie	Q3066	Q3039
32	Topic 32:état	Topic 32:state	Topic 32:Staat	Q2901	x
33	Topic 33:[porte grand voir]	Topic 33:[porte grand voir]	Topic 33:[porte grand voir]	x	x
34	Topic 34:correspondance	Topic 34:correspondence	Topic 34:Korrespondenz	Q2844	x
35	Topic 35:amour_sentiment	Topic 35:Liebe_Gefühl	Topic 35:amour_sentiment	Q2776	Q3087
36	Topic 36:[laisser moyen jamais]	Topic 36:[laisser moyen jamais]	Topic 36:[laisser moyen jamais]	x	x
37	Topic 37:richesse	Topic 37:wealth	Topic 37:Reichtum	Q3071	x
38	Topic 38:voyage	Topic 38:travel	Topic 38:voyage	Q3126	x
39	Topic 39:monarchie	Topic 39:monarchy	Topic 39:Monarchie	Q2994	x
